,c1,c2,c3,c4,c5
0,"151,0,0","219,0,0","99,99,99","0,15,255","0,0,0"
1,"23,54,84","244,246,247","170,167,130","187,187,187","170,170,170"
2,"58,72,88","117,126,138","176,181,188","235,236,238","0,15,255"
3,"183,242,184","180,255,237","182,205,255","204,180,255","255,179,242"
4,"0,0,0","13,56,110","25,33,82","228,228,228","0,145,172"
5,"255,224,231","211,244,255","254,245,220","210,255,225","225,224,255"
6,"178,225,193","178,225,200","178,225,210","178,225,217","178,224,225"
7,"208,105,105","208,131,105","208,152,105","219,158,107","231,164,107"
8,"254,253,1","234,213,21","210,166,44","188,122,66","164,72,91"
9,"5,17,32","73,116,67","255,224,249","123,149,193","131,63,49"
10,"252,220,63","114,90,36","11,122,191","0,15,255","249,166,74"
11,"246,241,244","251,221,246","183,190,243","103,110,141","61,68,92"
12,"215,255,194","225,255,172","237,255,211","204,255,199","212,255,241"
13,"81,143,245","103,58,183","39,167,104","245,188,26","222,83,71"
14,"100,66,64","50,36,36","240,230,218","130,21,16","177,161,223"
15,"124,157,69","86,100,39","53,25,48","122,30,71","190,166,148"
16,"66,133,244","234,67,53","251,188,5","52,168,83","103,58,183"
17,"184,130,241","226,157,244","250,133,133","251,173,212","247,92,171"
18,"59,55,46","112,104,85","219,224,230","229,230,234","98,49,17"
19,"12,10,13","81,79,80","89,26,21","53,69,20","25,35,120"
20,"8,7,3","99,66,23","228,112,37","239,192,112","255,245,182"
21,"56,89,122","101,122,151","163,161,175","219,204,183","246,159,105"
22,"249,89,149","136,103,255","105,241,235","239,189,80","241,130,86"
23,"174,216,164","228,105,131","153,217,232","140,105,173","237,163,200"
24,"137,108,104","236,142,117","234,201,170","246,221,167","130,161,143"
25,"151,98,255","180,102,219","204,100,178","229,101,139","255,105,105"
26,"35,174,149","48,152,144","45,180,170","36,146,115","44,176,146"
27,"251,66,66","161,16,41","255,217,125","99,37,14","31,64,10"
28,"250,146,194","189,174,230","137,209,241","112,207,213","171,215,134"
29,"124,71,71","83,124,74","206,124,124","86,107,131","131,208,132"
30,"202,204,194","166,137,116","140,76,70","102,60,56","133,168,204"
31,"40,132,189","15,172,176","105,105,105","201,201,201","26,191,170"
32,"0,0,0","183,166,137","255,236,139","162,210,132","127,191,191"
33,"252,193,255","238,163,241","182,101,190","111,91,109","72,42,61"
34,"110,255,152","89,216,94","56,164,76","48,134,77","24,96,56"
35,"255,189,244","255,172,237","255,151,233","255,121,227","255,91,229"
36,"86,48,29","102,61,36","112,68,40","123,76,45","134,84,49"
37,"221,138,60","230,154,75","234,161,83","243,177,100","247,185,108"
38,"199,149,90","201,155,100","208,172,129","212,181,143","222,202,171"
39,"148,112,78","150,115,81","158,124,90","173,140,105","179,146,111"
40,"225,200,48","214,165,48","214,137,19","150,113,66","176,146,134"
41,"84,57,69","80,67,94","116,102,114","131,124,137","152,147,154"
42,"11,141,118","96,223,137","126,191,163","173,225,205","207,225,225"
43,"113,189,115","244,239,128","223,120,102","131,35,35","81,16,49"
44,"246,231,138","220,143,225","140,68,191","60,46,122","19,9,84"
45,"0,15,255","248,253,255","243,252,255","237,251,255","226,248,255"
46,"46,248,253","0,224,229","21,199,204","36,185,189","14,172,176"
47,"0,55,105","17,60,101","24,67,107","26,74,118","25,79,129"
48,"151,0,161","105,2,141","113,20,124","92,13,107","210,10,171"
49,"0,28,240","255,154,0","240,255,0","238,144,0","47,0,253"
50,"0,253,17","0,240,16","48,204,0","26,193,0","20,152,0"
51,"19,60,51","24,66,57","31,84,72","43,96,84","50,111,98"
52,"0,15,255","255,252,255","255,245,255","255,237,252","255,228,247"
53,"55,39,62","48,38,58","42,36,54","50,42,66","55,43,92"
54,"189,0,0","159,0,0","144,0,0","126,0,0","114,0,0"
55,"120,186,194","42,128,141","94,99,112","19,14,70","14,0,36"
56,"191,48,60","2,2,2","0,15,255","195,154,107","229,175,130"
57,"206,195,231","181,139,210","182,128,189","169,99,156","180,64,146"
58,"197,160,160","184,143,143","178,125,125","163,106,106","122,83,83"
59,"169,134,150","184,136,167","200,143,204","171,129,176","149,103,169"
60,"176,172,151","191,175,126","204,188,95","219,194,91","231,212,98"
61,"173,236,222","123,207,214","75,166,201","50,101,189","14,31,156"
62,"237,238,107","194,206,103","158,178,113","121,150,99","86,107,80"
63,"206,242,198","165,216,171","120,186,151","86,169,150","61,152,145"
64,"223,181,181","197,123,149","146,121,167","103,90,163","78,86,148"
65,"229,213,163","162,162,172","131,162,211","92,118,155","206,141,188"
