,c1,c2,c3,c4,c5,c1_feel,c1_sentiment,c2_feel,c2_sentiment,c3_feel,c3_sentiment,c4_feel,c4_sentiment,c5_feel,c5_sentiment
0,"58,72,88","117,126,138","176,181,188","235,236,238","0,15,255",,0,,0,,0,,0,,0
1,"183,242,184","180,255,237","182,205,255","204,180,255","255,179,242",,0,,0,,0,,0,,0
2,"0,0,0","13,56,110","25,0,93","228,228,228","0,145,172",,0,,0,,0,,0,,0
3,"255,224,231","211,244,255","254,245,220","210,255,225","225,224,255",,0,,0,,0,,0,,0
4,"178,225,193","178,225,200","178,225,210","178,225,217","178,224,225",,0,,0,,0,,0,,0
5,"208,105,105","208,131,105","208,152,105","219,158,107","231,164,107",,0,,0,,0,,0,,0
6,"254,253,1","234,213,21","210,166,44","188,122,66","164,72,91",,0,,0,,0,,0,,0
7,"5,17,32","73,116,67","255,224,249","123,149,193","131,63,49",,0,,0,,0,,0,,0
8,"252,220,63","114,90,36","11,122,191","0,15,255","249,166,74",,0,,0,,0,,0,,0
9,"246,241,244","251,221,246","183,190,243","103,110,141","61,68,92",,0,,0,,0,,0,,0
10,"215,255,194","225,255,172","237,255,211","204,255,199","212,255,241",,0,,0,,0,,0,,0
11,"81,143,245","103,58,183","39,167,104","245,188,26","222,83,71",,0,,0,,0,,0,,0
12,"100,66,64","50,36,36","240,230,218","130,21,16","177,161,223",,0,,0,,0,,0,,0
13,"124,157,69","86,100,39","53,25,48","122,30,71","190,166,148",,0,,0,,0,,0,,0
14,"66,133,244","234,67,53","251,188,5","52,168,83","103,58,183",,0,,0,,0,,0,,0
15,"184,130,241","226,157,244","250,133,133","251,173,212","247,92,171",,0,,0,,0,,0,,0
16,"59,55,46","112,104,85","219,224,230","229,230,234","98,49,17",,0,,0,,0,,0,,0
17,"12,10,13","81,79,80","89,26,21","53,69,20","25,35,120",,0,,0,,0,,0,,0
18,"8,7,3","99,66,23","228,112,37","239,192,112","255,245,182",,0,,0,,0,,0,,0
19,"56,89,122","101,122,151","163,161,175","219,204,183","246,159,105",,0,,0,,0,,0,,0
20,"249,89,149","136,103,255","105,241,235","239,189,80","241,130,86",,0,,0,,0,,0,,0
21,"174,216,164","228,105,131","153,217,232","140,105,173","237,163,200",,0,,0,,0,,0,,0
22,"137,108,104","236,142,117","234,201,170","246,221,167","130,161,143",,0,,0,,0,,0,,0
23,"151,98,255","180,102,219","204,100,178","229,101,139","255,105,105",,0,,0,,0,,0,,0
24,"35,174,149","48,152,144","45,180,170","36,146,115","44,176,146",,0,,0,,0,,0,,0
25,"251,66,66","161,16,41","255,217,125","99,37,14","31,64,10",,0,,0,,0,,0,,0
26,"250,146,194","189,174,230","137,209,241","112,207,213","171,215,134",,0,,0,,0,,0,,0
27,"124,71,71","83,124,74","206,124,124","86,107,131","131,208,132",,0,,0,,0,,0,,0
28,"202,204,194","166,137,116","140,76,70","102,60,56","133,168,204",,0,,0,,0,,0,,0
29,"40,132,189","15,172,176","105,105,105","201,201,201","26,191,170",,0,,0,,0,,0,,0
30,"0,0,0","183,166,137","255,236,139","162,210,132","127,191,191",,0,,0,,0,,0,,0
31,"252,193,255","238,163,241","182,101,190","111,91,109","72,42,61",,0,,0,,0,,0,,0
32,"110,255,152","89,216,94","56,164,76","48,134,77","24,96,56",,0,,0,,0,,0,,0
33,"255,189,244","255,172,237","255,151,233","255,121,227","255,91,229",,0,,0,,0,,0,,0
34,"86,48,29","102,61,36","112,68,40","123,76,45","134,84,49",,0,,0,,0,,0,,0
35,"221,138,60","230,154,75","234,161,83","243,177,100","247,185,108",,0,,0,,0,,0,,0
36,"199,149,90","201,155,100","208,172,129","212,181,143","222,202,171",,0,,0,,0,,0,,0
37,"148,112,78","150,115,81","158,124,90","173,140,105","179,146,111",,0,,0,,0,,0,,0
38,"133,100,109","167,125,123","193,148,132","223,183,150","236,195,163",,0,,0,,0,,0,,0
39,"251,255,231","255,247,201","255,222,222","213,255,216","210,249,255",,0,,0,,0,,0,,0
40,"255,247,229","255,230,209","255,188,191","255,140,157","255,124,151",,0,,0,,0,,0,,0
41,"35,40,45","50,55,60","0,115,170","241,241,241","202,74,31",,0,,0,,0,,0,,0
42,"0,15,255","210,231,76","154,189,87","119,221,213","62,151,88",,0,,0,,0,,0,,0
43,"33,255,148","175,255,114","79,255,91","121,255,211","182,255,216",,0,,0,,0,,0,,0
44,"43,14,114","53,49,144","66,56,126","70,35,107","71,47,133",,0,,0,,0,,0,,0
45,"32,154,164","73,230,224","126,253,216","143,239,211","102,66,218",,0,,0,,0,,0,,0
46,"0,0,0","0,0,14","0,0,31","0,0,46","0,0,67",,0,,0,,0,,0,,0
47,"173,188,223","223,173,188","188,223,173","173,213,223","223,208,173",,0,,0,,0,,0,,0
48,"191,223,184","220,241,230","184,191,223","252,220,223","255,243,183",,0,,0,,0,,0,,0
49,"209,219,207","122,137,118","12,45,5","7,34,0","6,0,0",,0,,0,,0,,0,,0
50,"65,83,171","110,134,199","33,31,39","214,151,98","231,182,121",,0,,0,,0,,0,,0
51,"249,202,6","181,181,70","95,129,63","47,77,72","33,43,47",,0,,0,,0,,0,,0
52,"240,78,54","243,110,39","243,212,48","30,177,157","237,22,131",,0,,0,,0,,0,,0
53,"107,107,1","141,130,40","182,156,79","216,179,115","255,204,152",,0,,0,,0,,0,,0
54,"255,152,255","191,152,242","129,154,231","62,150,214","0,143,191",,0,,0,,0,,0,,0
55,"54,18,27","71,12,44","81,21,81","97,14,107","105,1,141",,0,,0,,0,,0,,0
